Item,Obtained By:,Type,Realm,Biome,Seeds Cost,Product Cost,Sell Cost,Profit per Plant/ Ingredient,Grow/ Respawn Time,Yield,Energy Restore,On Hand,Storage 1,Storage 2,Storage 3,Needed
Apple,Foraging,Fruit,Base Game,"Peaceful Meadow, Plaza",--,50,25,25,20 Min,3,300,,,,,
Asparagus,Gardening,Vegetables,Base Game,Frosted Heights,159,200,133,240,2 Hr 15 Min,3,42,,,,,
Banana,Foraging,Fruit,Base Game,"Dazzle Beach, Peaceful Meadow",--,58,29,29,23 Min,3,350,,,,,
Basil,Foraging,Spice & Herbs,Base Game,Peaceful Meadow,--,--,50,50,,1,100,,,,,
Bell Pepper,Gardening,Vegetables,Base Game,Forest of Valor,12,50,33,21,15 Min,1,79,,,,,
Blue Marshmallow,Foraging,,Base Game,Valley,--,--,50,50,,,450,,,,,
Blueberry,Foraging,Fruit,Base Game,"Forest of Valor, Dazzle Beach",--,58,29,29,23 Min,3,350,,,,,
Butter,Gardening,Pantry,Base Game,Remy's Restaurant,--,190,190,--,,,285,,,,,
Carrot,Gardening,Vegetables,"Base Game, Wishblossom Mountain","Peaceful Meadow, Glamour Gulch",10,--,44,34,15 Min,1,57,,,,,
Cheese,Gardening,Pantry,Base Game,Remy's Restaurant,--,180,180,180,--,-,270,,,,,
Cherry,Foraging,Fruit,Base Game,"Frosted Heights, Sunlit Plateau",--,83,42,42,33 Min,3,500,,,,,
Chrysanthemum Tea Leaves,Gardening,Spice & Herbs,Base Game,Mulan's Tea Stall,--,0,25,25,,,25,,,,,
Clam,Foraging,Seafood,Base Game,Dazzle Beach,--,--,50,50,--,1,120,,,,,
Cocoa Bean,Foraging,Fruit,Base Game,"Glade of Trust, Sunlit Plateau",--,75,38,38,30 Min,3,450,,,,,
Coconut,Foraging,Fruit,Base Game,Dazzle Beach,--,--,42,42,33 Min,3,500,,,,,
Coffee Bean,Foraging,Fruit,Base Game,Glade of Trust,--,--,36,36,40 Min,3,425,,,,,
Cucumber,Gardening,Vegetables,Base Game,"Frosted Heights, Mythopia",40,239,159,119,1 Hr 15 Min,1,145,,,,,
Dreamlight Fruit,Foraging,Fruit,Base Game,Sunlit Plateau,--,--,40,40,1 Day,3,500,,,,,
Egg,Gardening,Pantry,Base Game,Remy's Restaurant,--,220,220,--,,,330,,,,,
Eggplant,Gardening,Vegetables,Base Game,Frosted Heights,95,462,308,213,3 Hr,1,451,,,,,
Ginger,Foraging,Spice & Herbs,Base Game,Forgotten Lands,--,--,50,50,--,1,175,,,,,
Gooseberry,Foraging,Fruit,Base Game,"Forgotten Lands, Frosted Heights",--,100,50,50,40 Min,3,600,,,,,
Jasmine Tea Leaves,Gardening,Spice & Herbs,Base Game,Mulan's Tea Stall,--,0,25,25,--,--,25,,,,,
Leek,Gardening,Vegetables,Base Game,Forgotten Lands,120,464,309,189,2 Hr,1,228,,,,,
Lemon,Foraging,Fruit,Base Game,"Forest of Valor, Glade of Trust",--,67,33,33,27 Min,3,400,,,,,
Lettuce,Gardening,Vegetables,Base Game,Peaceful Meadow,3,12,8,5,3 Min,1,56,,,,,
Milk,Gardening,Pantry,Base Game,Remy's Restaurant,--,230,230,--,--,--,345,,,,,
Mint,Foraging,Spice & Herbs,Base Game,Frosted Heights,--,--,50,50,--,1,155,,,,,
Mushroom,Foraging,Spice & Herbs,Base Game,"Glade of Trust, Peaceful Meadow, Sunlit Plateau",--,--,30,30,--,1,105,,,,,
Okra,Gardening,Vegetables,Base Game,Glade of Trust,135,171,114,207,2 Hr,3,31,,,,,
